"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA10LA108","ACC","75230","2009-12-31T21:45:00Z","Concord","North Carolina","United States",,"N8985C","32R-7680147","false","Aviation","DirectorBrief","2010-09-27T04:00:00Z","2010-09-06T15:52:00Z","None","0","0","0","0","0","A missing right main landing gear aft trunnion mount attachment nut.","Aircraft - Aircraft systems - Landing gear system - Main landing gear attach sec - Malfunction",,"35.391666000000001","-80.708335000000005","PIPER","PA-32R-300","AIR","JQF","Concord Regional","false","1","REC","NSCH",,"135","Substantial","IMC","Ram Air Freight Inc.","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75230","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75230/pdf"
"ANC10LA011","ACC","75214","2009-12-31T15:00:00Z","Willow","Alaska","United States",,"N146T","18-2260","false","Aviation","DirectorBrief","2010-12-20T05:00:00Z","2010-08-20T15:56:00Z","Serious","0","1","0","1","0","The pilot’s failure to ensure that the airplane’s fuel selector valve was on before takeoff, resulting in a loss of engine power due to fuel starvation, and his subsequent decision to attempt a low altitude turn towards the departure airport, resulting in an aerodynamic stall and loss of control.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft systems - Fuel system - Fuel selector/shutoff valve - Incorrect use/operation",,"61.754165","-150.05166600000001","PIPER","PA-18","AIR","UUO","Willow Airport","false","1","REC",,"PERS","091","Substantial","VMC","CURTIS GLEN GREEN JR, TRUSTEE","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75214","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75214/pdf"
"CEN10CA086","ACC","75213","2009-12-29T14:30:00Z","Houma","Louisiana","United States",,"N17325","80019","false","Aviation","DirectorBrief","2010-03-23T04:00:00Z","2010-01-13T19:49:00Z","None","0","0","0","0","0","The pilot's failure to maintain directional control during the landing roll.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"29.566389000000001","-90.660278000000005","HOOVER FRANK","RV-8","AIR","HUM","Houma-Terrebonne","true","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75213","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75213/pdf"
"CEN10CA089","ACC","75231","2009-12-28T14:30:00Z","Eldon","Missouri","United States",,"N491DS","491","false","Aviation","DirectorBrief","2010-05-06T04:00:00Z","2010-02-12T15:22:00Z","Minor","0","0","1","1","0","The pilot's inability to climb or maintain proper airspeed due to the improper pitch setting of the propeller.","Aircraft - Aircraft propeller/rotor - Propeller system - Propeller assembly - Incorrect service/maintenance, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Attain/maintain not possible, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Climb capability - Attain/maintain not possible",,"38.360553000000003","-92.571387999999999","LYMAN RANDALL/SCOTT DAVID","AVID FLYER","AIR","H79","Eldon Model Airpark","true","1","REC",,"FLTS","091","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75231","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75231/pdf"
"CEN10LA080","ACC","75204","2009-12-27T16:30:00Z","Alexandria","Louisiana","United States",,"N7230W","28-1047","false","Aviation","DirectorBrief","2010-05-06T04:00:00Z","2010-02-10T21:09:00Z","None","0","0","0","0","0","A loss of engine power for undetermined reasons.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"31.323055","-92.542220999999998","PIPER","PA-28-180","AIR","AEX","Alexandria","false","1","REC",,"PERS","091","Substantial","VMC","Jack Bradley McCullough","Emergency Descent","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75204","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75204/pdf"
"CEN10IA084","INC","75207","2009-12-25T21:00:00Z","Dallas","Texas","United States",,"N494AE","494","false","Aviation","DirectorBrief","2012-03-28T04:00:00Z","2011-12-22T19:29:00Z","None","0","0","0","0","0","A fatigue failure of an elevator stop bracket, which resulted in a partial jam of the elevator control. Contributing to the failure was the improper installation of shim stacks, poor alignment of the brackets, and cyclic stresses acting on the lower stop, generated by the repeated improper use of the gust lock system.","Aircraft - Aircraft structures - Empennage structure - Elevators - Fatigue/wear/corrosion, Aircraft - Aircraft structures - Empennage structure - Elevator/tab attach fitting - Malfunction, Aircraft - Aircraft structures - Empennage structure - Elevator/tab attach fitting - Incorrect service/maintenance, Aircraft - Aircraft structures - Empennage structure - Elevator/tab attach fitting - Unintentional use/operation, Personnel issues - Action/decision - Action - Lack of action - Not specified",,"32.891387000000002","-97.036108999999996","ATR","ATR72","AIR","KDFW","Dallas/Fort Worth Internationa","false","2","TP","SCHD",,"121","Minor","VMC","EXECUTIVE AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75207","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75207/pdf"
"ERA10LA102","ACC","75201","2009-12-25T15:55:00Z","Dexter","Kentucky","United States",,"N499CM","4990","false","Aviation","DirectorBrief","2011-04-28T04:00:00Z","2011-01-26T14:49:00Z","Fatal","1","0","0","1","0","The loss of engine power due to the chaffing and grounding of the single magneto's ignition lead.","Aircraft - Aircraft power plant - Ignition system - Magneto/distributor - Incorrect service/maintenance, Aircraft - Aircraft power plant - Ignition system - Ignition power supply - Design",,"36.695835000000002","-88.204443999999995","DAVIS MICHAEL J","LONGEZ","AIR",,,"true","1","REC",,"PERS","091","Destroyed","VMC","Michael . J Davis","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75201","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75201/pdf"
"CEN10LA078","ACC","75198","2009-12-25T14:00:00Z","Decatur","Texas","United States",,"N600CE","53347","false","Aviation","DirectorBrief","2011-04-28T04:00:00Z","2011-01-19T14:19:00Z","Serious","0","2","1","3","0","The pilot's inadequate preflight inspection and the momentary loss of engine power due to snow or ice ingestion.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - (general) - Inadequate inspection, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Snow - Effect on equipment",,"33.209719999999997","-97.589447000000007","BELL HELICOPTER TEXTRON CANADA","407","HELI","XA57","Wise Regional Health System","false","1","TS",,"POSI","091","Substantial","VMC","AIR EVAC EMS INC","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75198","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75198/pdf"
"CEN10LA085","ACC","75210","2009-12-25T12:48:00Z","Robert Lee","Texas","United States",,"N9499X","21057799","false","Aviation","DirectorBrief","2010-12-20T05:00:00Z","2010-06-25T18:50:00Z","None","0","0","0","0","0","The collapse of the right main landing gear during landing for unknown reasons.","Aircraft - Aircraft systems - Landing gear system - Main landing gear attach sec - Not specified",,"31.875278000000002","-100.537498","CESSNA","210A","AIR","54F","Robert Lee Airport","false","1","REC",,"PERS","091","Substantial","VMC","PRICE JAMES F JR","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75210","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75210/pdf"
"CEN10CA081","ACC","75205","2009-12-25T11:30:00Z","Bowie","Texas","United States",,"N21177","18261466","false","Aviation","DirectorBrief","2010-03-23T04:00:00Z","2010-01-14T20:39:00Z","Minor","0","0","1","1","0","A total loss of engine power due to fuel exhaustion as a result of the pilot's failure to properly secure the right wing fuel cap and monitor the available fuel supply.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management, Aircraft - Aircraft systems - Fuel system - Fuel storage - Incorrect use/operation, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot",,"33.601112000000001","-97.771941999999996","CESSNA","182P","AIR",,"None","false","1","REC",,"PERS","091","Substantial","VMC","MOORE HAROLD D","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=75205","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/75205/pdf"
