"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WPR25LA176","ACC","200332","2025-06-15T11:30:00Z","Three Forks","Montana","United States",,"N71450",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"CESSNA","182M",,,,"false",,,,,,,,,"Enroute","In work",,,"",""
"WPR25LA173","ACC","200327","2025-06-13T08:49:00Z","Woods Cross","Utah","United States",,"N407SJ","53608","false","Aviation","",,,"None","0","0","0","0",,,,,"40.868149000000003","-111.92749000000001","BELL","407","HELI","BTF","Skypark Airport","false","1",,,"UNK","091","Substantial","VMC","SAN JUAN AVIATION LLC","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200327/pdf"
"ANC25LA051","ACC","200321","2025-06-13T04:15:00Z","Fairbanks","Alaska","United States",,"N3846M",,"false","Aviation","",,,,,,,,,,,,,,"PIPER","PA-12",,,,"false",,,,"PERS","091",,"VMC",,"Maneuvering","In work",,,"",""
"ERA25LA229","ACC","200323","2025-06-12T18:50:00Z","Valparaiso","Florida","United States",,"N633AF",,"false","Aviation","",,,"Serious","0","2","2","4",,,,,,,"ROBINSON HELICOPTER CO","R66",,,,"false",,,,"PERS","091",,"VMC",,"Landing","In work",,,"",""
"CEN25LA205","ACC","200314","2025-06-11T21:55:00Z","Fort Stockton","Texas","United States",,"N77LH",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"LANCAIR","360",,,,"false",,,,,,,,,"Enroute","In work",,,"",""
"ANC25LA050","ACC","200316","2025-06-11T08:52:00Z","Honolulu","Hawaii","United States",,"N221LM","SH3722","false","Aviation","",,,"None","0","0","0","0",,,,,"21.321783","-157.91589999999999","SHORT BROS","SD3-60","AIR","HNL","Daniel K Inouye International Airport","false","2",,"NSCH","BUS","135","Substantial","VMC","TransAir","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200316/pdf"
"ANC25LA047","ACC","200308","2025-06-10T14:30:00Z","Camas","Washington","United States",,"N991RS","140872","false","Aviation","",,,"None","0","0","0","0",,,,,"45.627896","-122.40279","BRIAN PECK","RV-14","AIR","1W1","Camas Grove Field","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200308/pdf"
"CEN25LA199","ACC","200285","2025-06-08T17:15:00Z","Mineral Wells","Texas","United States",,"N7376N","18263159","false","Aviation","",,,"None","0","0","0","0",,,,,"32.782525999999997","-98.060291000000007","CESSNA","182P","AIR","MWL",,"false","1",,,"PERS","091","Substantial","VMC","LKW VENTURES LLC","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200285/pdf"
"ANC25LA049","ACC","200312","2025-06-08T14:00:00Z","Flagstaff","Arizona","United States",,"N605NB","18052732","false","Aviation","",,,"None","0","0","0","0",,,,,"35.139859999999999","-111.66925999999999","CESSNA","180J","AIR","FLG","Flagstaff Pulliam","false","1",,,"PERS","091","Substantial","VMC","ZULU AVIATION LLC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200312/pdf"
"ERA25LA222","ACC","200284","2025-06-08T12:45:00Z","Tullahoma","Tennessee","United States",,"N166DH",,"false","Aviation","",,,"Serious","0","3","17","20",,,,,,,"DEHAVILLAND","DHC-6 TWIN OTTER",,,,"false",,,,"SKYD","091",,"VMC",,"Takeoff","In work",,,"",""
"WPR25FA169","ACC","200282","2025-06-08T12:30:00Z","San Diego","California","United States",,"N414BA",,"false","Aviation","",,,"Fatal","6","0","0","6",,,,,,,"CESSNA","414",,,,"false",,,,,"091",,,,"Initial Climb","In work",,,"",""
"DCA25LA230","ACC","200304","2025-06-08T04:00:00Z","Phoenix","Arizona","United States",,"N27266",,"false","Aviation","",,,"Serious","0","1","3","4",,,,,,,"BOEING","737",,,,"false",,,"SCHD",,"121",,,"United Airlines","Taxi","In work",,,"",""
