learner,hyperparams,target,train_mse,train_mae,val_mse,val_mae
randomforest,"{'max_samples': 1000, 'min_samples_leaf': 2, 'n_estimators': 500}",prop_inj_fatal,0.08997591872004343,0.20470103284651117,0.08507945405446697,0.1986688556332798
histgrad,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 9}",prop_inj_fatal,0.09363259206173233,0.20522498743998668,0.0885017488586838,0.19975860247444155
extrees,"{'max_depth': 50, 'max_leaf_nodes': 36, 'n_estimators': 100}",prop_inj_fatal,0.1035319735294639,0.21667515873421725,0.09712616376344531,0.2096868921308908
bagging,{'n_estimators': 1000},prop_inj_fatal,0.014894052634994768,0.08095380069222123,0.014375357770264746,0.07885403149141432
xgboost,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500, 'subsample': 0.6}",prop_inj_fatal,0.08262773834517728,0.19112841068460998,0.0787060219471756,0.18625386158214616
naivemean,{n/a},prop_inj_fatal,0.1237760400528175,0.2553312484317076,0.11592971001703481,0.24757076388962976
randomforest,"{'max_samples': 1000, 'min_samples_leaf': 20, 'n_estimators': 1000}",prop_inj_serious,0.06838959537756198,0.15788815541064488,0.07444314317255515,0.16388229329876
histgrad,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 3}",prop_inj_serious,0.06880573620067532,0.15759387625486054,0.0749686069304723,0.16380765707745934
extrees,"{'max_depth': 2, 'max_leaf_nodes': 3, 'n_estimators': 100}",prop_inj_serious,0.07115977639798739,0.16099440426037165,0.07738396186289363,0.1672907122371446
bagging,{'n_estimators': 1000},prop_inj_serious,0.010245199936969313,0.06211978936592973,0.011028762425348677,0.06408594931720776
xgboost,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",prop_inj_serious,0.06729391914770508,0.15552828742451122,0.07333437306665046,0.1614417803055515
naivemean,{n/a},prop_inj_serious,0.07237682699115096,0.1641715402633461,0.07894055802036025,0.17095224620459148
