learner,hyperparams,target,train_mse,train_mae,val_mse,val_mae
randomforest,"{'max_samples': 1000, 'min_samples_leaf': 2, 'n_estimators': 1000}",prop_inj_fatal,0.08711915385589161,0.2023697172690857,0.10063774469665682,0.2170517031390916
histgrad,"{'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 6}",prop_inj_fatal,0.09831311077656056,0.21343266461151345,0.09769298175714741,0.21295668441004703
extrees,"{'max_depth': 50, 'max_leaf_nodes': 36, 'n_estimators': 1000}",prop_inj_fatal,0.10471509397429951,0.22008757458737122,0.10155334864044185,0.21625404486471553
bagging,{'n_estimators': 1000},prop_inj_fatal,0.0152310305880918,0.08240586828142618,0.10490420620381077,0.21468164759221897
xgboost,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",prop_inj_fatal,0.09731602067718322,0.2119538439390916,0.09825568580695453,0.21262489075869953
naivemean,{n/a},prop_inj_fatal,0.12636823231823638,0.2602222553004603,0.11601569131992609,0.24997155727231674
randomforest,"{'max_samples': 1000, 'min_samples_leaf': 20, 'n_estimators': 1000}",prop_inj_serious,0.0659724632356553,0.15327349713412172,0.07651055997521874,0.16378838475600652
histgrad,"{'learning_rate': 0.01, 'max_iter': 500, 'max_leaf_nodes': 3}",prop_inj_serious,0.06733130568369362,0.15481879772791027,0.07631662061474517,0.16393506870071317
extrees,"{'max_depth': 2, 'max_leaf_nodes': 3, 'n_estimators': 1000}",prop_inj_serious,0.06908315800896059,0.1569476891371974,0.07745857525589935,0.16544186152265103
bagging,{'n_estimators': 500},prop_inj_serious,0.010099047072417025,0.06081575708057469,0.08161132030916704,0.1713091363453914
xgboost,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",prop_inj_serious,0.06683530911705239,0.15448683302873467,0.07632792837444809,0.16401720492940633
naivemean,{n/a},prop_inj_serious,0.07019034057651873,0.15979906290251522,0.07899527388948697,0.1688978241112969
