,accident_id,engine_ELEC,engine_GTFN,engine_HR,engine_LR,engine_NONE,engine_REC,engine_TF,engine_TJ,engine_TP,engine_TS,engine_UNK
0,20080107X00026_1,0,0,0,0,0,1,0,0,0,0,0
1,20080107X00026_2,0,0,0,0,0,1,0,0,0,0,0
2,20080109X00036_1,0,0,0,0,0,1,0,0,0,0,0
3,20080107X00027_1,0,0,0,0,0,0,0,0,1,0,0
4,20080115X00051_1,0,0,0,0,0,1,0,0,0,0,0
5,20080115X00047_1,0,0,0,0,0,1,0,0,0,0,0
6,20080123X00096_1,0,0,0,0,0,1,0,0,0,0,0
7,20080116X00063_1,0,0,0,0,0,1,0,0,0,0,0
9,20080114X00044_1,0,0,0,0,0,1,0,0,0,0,0
10,20080122X00087_1,0,0,0,0,0,0,0,0,0,1,0
11,20080220X00212_1,0,0,0,0,0,1,0,0,0,0,0
12,20080210X00166_1,0,0,0,0,0,1,0,0,0,0,0
13,20080210X00162_1,0,0,0,0,0,1,0,0,0,0,0
14,20080312X00299_1,0,0,0,0,0,1,0,0,0,0,0
15,20080117X00068_1,0,0,0,0,0,1,0,0,0,0,0
16,20080219X00203_1,0,0,0,0,0,1,0,0,0,0,0
17,20080123X00090_1,0,0,0,0,0,1,0,0,0,0,0
18,20080304X00261_1,0,0,0,0,0,1,0,0,0,0,0
19,20080207X00153_1,0,0,0,0,0,0,0,0,0,1,0
20,20080213X00179_1,0,0,0,0,0,1,0,0,0,0,0
21,20080116X00062_1,0,0,0,0,0,1,0,0,0,0,0
23,20080118X00073_1,0,0,0,0,0,0,1,0,0,0,0
24,20080118X00073_2,0,0,0,0,0,0,1,0,0,0,0
25,20080219X00204_1,0,0,0,0,0,1,0,0,0,0,0
26,20080117X00069_1,0,0,0,0,0,1,0,0,0,0,0
27,20080115X00046_1,0,0,0,0,0,1,0,0,0,0,0
28,20080115X00052_1,0,0,0,0,0,1,0,0,0,0,0
29,20080213X00180_1,0,0,0,0,0,1,0,0,0,0,0
30,20080204X00131_1,0,0,0,0,0,1,0,0,0,0,0
31,20080129X00119_1,0,0,0,0,0,1,0,0,0,0,0
33,20080214X00194_1,0,0,0,0,0,1,0,0,0,0,0
34,20080129X00117_1,0,0,0,0,0,1,0,0,0,0,0
35,20080117X00067_1,0,0,0,0,0,0,0,0,1,0,0
37,20080118X00075_1,0,0,0,0,0,1,0,0,0,0,0
38,20080122X00085_1,0,0,0,0,0,1,0,0,0,0,0
40,20080118X00074_1,0,0,0,0,0,0,0,0,1,0,0
41,20080123X00091_1,0,0,0,0,0,1,0,0,0,0,0
42,20080215X00202_1,0,0,0,0,0,1,0,0,0,0,0
