ntsb_no,ev_year,ev_month,latitude,longitude,apt_dist,light_cond,gust_kts,altimeter,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,aircraft_count,Aircraft_ID,event_key,eng_type,far_part,damage,acft_make,acft_model,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,date_last_insp,second_pilot,Environmental issues,Organizational issues,Personnel issues,Fatal_count,Minor_count,None_count,Serious_count,total_person_count,injured_person_count,ground_injury_total
DFW08CA054,2008,1,293022N,0952836W,0.0,DAYL,20.0,30.620001,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080109X00036_1,REC,091,SUBS,Micco Aircraft Company,MAC-145B,AIR,N,2.0,1.0,RETR,09/01/07 00:00:00,N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
DFW08LA055,2008,1,035321N,0973829W,0.0,NITE,0.0,30.639999,FATL,1.0,0.0,0.0,0,0,8,0,9.0,1.0,1,20080107X00027_1,TP,091,UNK,Pilatus,PC-12/45,AIR,N,9.0,1.0,RETR,other/unknown,N,1.0,0.0,1.0,0.0,0.0,8.0,0.0,8.0,0.0,1.0
MIA08LA035,2008,1,038128N,0773515W,0.0,DAYL,0.0,30.290001,MINR,0.0,0.0,0.0,0,1,0,0,1.0,1.0,1,20080115X00047_1,REC,091,SUBS,Cessna,R172K,AIR,N,4.0,1.0,FIXD,03/01/07 00:00:00,N,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
NYC08LA075,2008,1,039436N,0764940W,0.0,DAYL,0.0,30.309999,MINR,0.0,0.0,0.0,0,1,0,0,1.0,1.0,1,20080123X00096_1,REC,091,SUBS,DEAN PATRICK G,GENESIS,AIR,Y,2.0,1.0,FIXD,06/29/07 00:00:00,N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
ANC08MA038,2008,1,057452N,0152287W,0.0,DAYL,26.0,28.959999,FATL,0.0,0.0,0.0,6,1,0,3,10.0,1.0,1,20080116X00063_1,REC,135,SUBS,PIPER,PA-31-350,AIR,N,10.0,2.0,RETR,12/18/07 00:00:00,N,0.0,2.0,1.0,6.0,1.0,0.0,3.0,10.0,10.0,0.0
NYC08LA077,2008,1,028594N,0811758W,0.0,DAYL,0.0,30.299999,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080122X00087_1,TS,091,SUBS,BELL,407,HELI,N,7.0,1.0,FIXD,other/unknown,N,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
NYC08LA078,2008,1,264954N,0080218W,0.0,DAYL,0.0,30.17,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080210X00162_1,REC,091,SUBS,Robinson,R22 Beta,HELI,N,2.0,1.0,FIXD,12/31/07 00:00:00,N,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
MIA08CA037,2008,1,044387N,0683757W,0.0,DAYL,0.0,30.120001,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080312X00299_1,REC,091,SUBS,Cessna,170A,AIR,N,4.0,1.0,FIXD,03/01/07 00:00:00,N,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
SEA08LA058,2008,1,033535N,0117158W,0.0,DAYL,0.0,30.059999,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080117X00068_1,REC,091,SUBS,Corsario,MK-5,AIR,Y,2.0,1.0,RETR,other/unknown,N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
MIA08FA038,2008,1,275447N,0824029W,0.0,DAYL,0.0,29.9,FATL,0.0,0.0,0.0,3,0,0,0,3.0,1.0,1,20080123X00090_1,REC,091,SUBS,CESSNA,172L,AIR,N,4.0,1.0,FIXD,04/01/07 00:00:00,N,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
MIA08CA039,2008,1,315817N,0861723W,0.0,DAYL,0.0,29.950001,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080304X00261_1,REC,091,SUBS,Piper,PA-32-300,AIR,N,6.0,1.0,FIXD,12/01/07 00:00:00,N,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
SEA08LA060,2008,1,034057N,0118274W,0.0,DUSK,0.0,0.0,NONE,0.0,0.0,0.0,0,0,3,0,3.0,1.0,1,20080213X00179_1,REC,091,SUBS,DeSousa,Jabiru J400,AIR,Y,4.0,1.0,FIXD,08/01/07 00:00:00,N,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
SEA08LA061,2008,1,037378N,1222229W,0.0,NITE,0.0,30.27,NONE,0.0,0.0,0.0,0,0,61,0,61.0,2.0,1,20080118X00073_1,TF,121,SUBS,"Bombardier, Inc.",CL-600-2C10,AIR,N,70.0,2.0,RETR,01/01/08 00:00:00,Y,0.0,0.0,3.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0
SEA08LA061,2008,1,037378N,1222229W,0.0,NITE,0.0,30.27,NONE,0.0,0.0,0.0,0,0,61,0,61.0,2.0,2,20080118X00073_2,TF,121,SUBS,BOEING,757-222,AIR,N,192.0,2.0,RETR,04/01/07 00:00:00,N,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NYC08CA080,2008,1,264644N,0812556W,0.0,DAYL,0.0,29.950001,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080219X00204_1,REC,091,SUBS,Cessna,C-152,AIR,N,2.0,1.0,FIXD,12/01/07 00:00:00,N,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
MIA08LA034,2008,1,385821N,0761928W,1.0,DAYL,20.0,30.65,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080115X00046_1,REC,091,SUBS,Costruzioni Aeronautiche,P2002 Sierra,AIR,N,2.0,1.0,FIXD,12/01/07 00:00:00,N,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
DEN08LA049,2008,1,041912N,0104749W,0.0,DAYL,15.0,30.030001,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080115X00052_1,REC,091,SUBS,Cessna,172M,AIR,N,4.0,1.0,FIXD,other/unknown,N,3.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
SEA08LA064,2008,1,384327N,1204512W,0.0,NITE,0.0,0.0,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080213X00180_1,REC,091,SUBS,Piper,PA-24-250,AIR,N,4.0,1.0,RETR,08/01/07 00:00:00,N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
SEA08CA065,2008,1,335118N,1172543W,0.0,DAYL,0.0,30.15,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080204X00131_1,REC,091,SUBS,Robinson,R-22,HELI,N,2.0,1.0,FIXD,other/unknown,N,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
DFW08FA056,2008,1,361333N,0955322W,2.0,NITE,21.0,30.0,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080129X00119_1,REC,135,SUBS,AERO COMMANDER,500B,AIR,N,2.0,2.0,FIXD,01/10/08 00:00:00,N,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
CHI08CA060,2008,1,422235N,0834734W,0.0,DAYL,0.0,30.27,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080214X00194_1,REC,091,SUBS,American Champion (ACAC),7AC,AIR,N,2.0,1.0,FIXD,other/unknown,N,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
CHI08CA063,2008,1,040148N,0822743W,0.0,DAYL,0.0,30.049999,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080129X00117_1,REC,091,SUBS,Newbold,Newbold 2000,GYRO,Y,,1.0,FIXD,other/unknown,other/unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
ANC08LA032,2008,1,613454N,1593230W,1.0,DAYL,0.0,29.790001,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080118X00075_1,REC,091,SUBS,Cessna,207,AIR,N,6.0,1.0,FIXD,10/01/07 00:00:00,N,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
CHI08FA066,2008,1,041313N,0081410W,1.0,NITE,0.0,30.25,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080122X00085_1,REC,091,SUBS,Hawker Beechcraft Corp.,58,AIR,N,6.0,2.0,RETR,09/20/07 00:00:00,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
ANC08LA031,2008,1,604647N,1615017W,0.0,DAYL,0.0,29.360001,MINR,0.0,0.0,0.0,0,1,4,0,5.0,1.0,1,20080118X00074_1,TP,135,SUBS,Cessna,208B,AIR,N,5.0,1.0,FIXD,01/01/08 00:00:00,N,2.0,0.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0
MIA08LA041,2008,1,421138N,0711040W,0.0,DAYL,0.0,30.299999,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080123X00091_1,REC,091,SUBS,Grumman American ,AA-5B,AIR,N,4.0,1.0,FIXD,06/01/07 00:00:00,N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
DEN08CA051,2008,1,362729N,1054020W,0.0,DUSK,0.0,0.0,NONE,0.0,0.0,0.0,0,0,4,0,4.0,1.0,1,20080220X00218_1,REC,091,SUBS,Piper,PA-32-301XTC,AIR,N,,1.0,FIXD,other/unknown,other/unknown,2.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
NYC08CA084,2008,1,282824N,0822718W,0.0,DAYL,0.0,0.0,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080321X00354_1,REC,091,SUBS,Piper,PA-32R-300,AIR,N,,1.0,RETR,other/unknown,N,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
MIA08CA042,2008,1,335232N,0084187W,0.0,NITE,0.0,30.049999,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080312X00302_1,REC,091,SUBS,Piper,PA-32-260,AIR,N,6.0,1.0,FIXD,other/unknown,N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
MIA08LA043,2008,1,281714N,0081268W,0.0,DAYL,14.0,30.32,NONE,0.0,0.0,0.0,0,0,3,0,3.0,1.0,1,20080131X00125_1,REC,091,SUBS,Cessna,U206F,AIR,N,6.0,1.0,RETR,08/01/07 00:00:00,N,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
MIA08FA044,2008,1,255141N,0805250W,0.0,DAYL,0.0,30.200001,FATL,0.0,0.0,0.0,2,0,0,0,2.0,1.0,1,20080128X00108_1,REC,091,SUBS,Robinson,R44,HELI,N,4.0,1.0,FIXD,06/01/07 00:00:00,N,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
LAX08FA047,2008,1,363354N,1194326W,12.0,DAYL,0.0,30.200001,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080123X00098_1,REC,091,SUBS,Beechcraft,V35B,AIR,N,4.0,1.0,RETR,03/01/07 00:00:00,N,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
LAX08CA048,2008,1,382240N,1215742W,0.0,DAYL,0.0,0.0,MINR,0.0,0.0,0.0,0,1,1,0,2.0,1.0,1,20080220X00213_1,REC,091,SUBS,Waltermire,Glastar,AIR,Y,,1.0,FIXD,other/unknown,other/unknown,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
LAX08FA049,2008,1,335256N,0117373W,0.0,DAYL,0.0,29.9,FATL,1.0,0.0,0.0,4,0,0,0,5.0,2.0,1,20080130X00124_1,REC,091,DEST,CESSNA,172N,AIR,N,4.0,1.0,FIXD,09/27/07 00:00:00,N,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0
LAX08FA049,2008,1,335256N,0117373W,0.0,DAYL,0.0,29.9,FATL,1.0,0.0,0.0,4,0,0,0,5.0,2.0,2,20080130X00124_2,REC,091,DEST,CESSNA,150M,AIR,N,2.0,1.0,FIXD,12/02/08 00:00:00,Y,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0
CHI08LA067,2008,1,461917N,0935025W,0.0,DAYL,0.0,30.01,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080122X00082_1,REC,091,SUBS,Ziermann,RV8,AIR,Y,2.0,1.0,FIXD,10/01/07 00:00:00,N,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
SEA08LA067,2008,1,036540N,0121252W,0.0,DAYL,37.0,29.790001,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080324X00374_1,other/unknown,other/unknown,UNK,other/unknown,other/unknown,other/unknown,other/unknown,,2.0,other/unknown,other/unknown,other/unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYC08LA086,2008,1,035155N,0811510W,0.0,DAYL,0.0,30.51,MINR,0.0,0.0,0.0,0,2,0,0,2.0,1.0,1,20080210X00161_1,REC,091,SUBS,PIPER,PA-28-R200,AIR,N,4.0,1.0,FIXD,08/01/07 00:00:00,N,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
DEN08LA053,2008,1,374957N,0972212W,1.0,DAYL,0.0,30.120001,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080129X00115_1,REC,091,SUBS,Phillips,Flite Bike,AIR,Y,1.0,1.0,FIXD,01/01/08 00:00:00,N,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
DEN08LA054,2008,1,415649N,0108586W,0.0,DAYL,0.0,29.799999,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080129X00116_1,REC,091,SUBS,MacAdams,Titan Tornado 912,AIR,Y,2.0,1.0,FIXD,08/01/07 00:00:00,N,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
DFW08LA058,2008,1,304831N,0891129W,0.0,DAYL,0.0,30.17,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080205X00136_1,REC,091,SUBS,PIPER,PA32-301FT,AIR,N,6.0,1.0,RETR,01/07/07 00:00:00,N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
DFW08CA059,2008,1,030260N,0101490W,22.0,DAYL,17.0,30.200001,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080317X00317_1,REC,091,SUBS,Piper,PA-18-150,AIR,N,2.0,1.0,FIXD,other/unknown,N,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
NYC08CA088,2008,1,351250N,0805635W,0.0,NITE,0.0,29.690001,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080305X00268_1,TF,135,SUBS,"Bombardier, Inc.",35A,AIR,N,4.0,2.0,RETR,12/01/07 00:00:00,Y,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
MIA08LA048,2008,1,245229N,0811348W,5.0,DAYL,0.0,30.040001,SERS,0.0,0.0,0.0,0,0,0,2,2.0,1.0,1,20080207X00148_1,REC,091,SUBS,GRUMMAN,G-21A,AIR,N,6.0,2.0,FIXD,04/01/07 00:00:00,N,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
MIA08CA049,2008,1,341019N,0833338W,0.0,DAYL,0.0,30.030001,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080312X00303_1,REC,091,SUBS,Airborne,Redback,AIR,N,2.0,1.0,FIXD,other/unknown,N,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
LAX08FA052,2008,1,335645N,1181647W,0.0,NITE,0.0,30.200001,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080201X00130_1,REC,091,DEST,ROBINSON HELICOPTER,R22 BETA,HELI,N,2.0,1.0,FIXD,01/20/08 00:00:00,N,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
MIA08MA051,2008,2,441415N,0069516W,0.0,NDRK,0.0,30.309999,FATL,0.0,0.0,0.0,2,0,0,0,2.0,1.0,1,20080211X00172_1,TF,091,DEST,CESSNA,525,AIR,N,8.0,2.0,FIXD,11/14/07 00:00:00,N,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
NYC08CA092,2008,2,285241N,0815627W,0.0,DAYL,0.0,30.25,MINR,0.0,0.0,0.0,0,1,0,0,1.0,1.0,1,20080305X00264_1,REC,091,DEST,Kral,Series 5 Kitfox,AIR,Y,2.0,1.0,FIXD,08/01/07 00:00:00,N,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
DFW08FA060,2008,2,345126N,0973511W,0.0,DAYL,0.0,29.98,FATL,0.0,0.0,0.0,2,0,0,0,2.0,1.0,1,20080206X00142_1,REC,091,DEST,CIRRUS DESIGN CORP,SR22,AIR,N,4.0,1.0,FIXD,10/02/07 00:00:00,Y,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
SEA08LA068,2008,2,475353N,1221710W,2.0,DAYL,0.0,29.549999,SERS,0.0,0.0,0.0,0,0,0,1,1.0,1.0,1,20080211X00167_1,REC,091,SUBS,Bellanca,17-30A,AIR,N,4.0,1.0,RETR,03/01/07 00:00:00,N,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
MIA08FA052,2008,2,361652N,0804649W,0.0,DAYL,0.0,30.17,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080207X00150_1,REC,091,SUBS,KAYLOR J E/STRAHLMANN R L,RV-4,AIR,Y,2.0,1.0,FIXD,other/unknown,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
LAX08CA051,2008,1,041338N,0112344W,0.0,DAYL,0.0,0.0,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080225X00233_1,REC,091,SUBS,Luscombe,8E,AIR,N,,1.0,FIXD,other/unknown,other/unknown,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
LAX08CA054,2008,1,033210N,1153110W,4.0,NITE,0.0,0.0,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080226X00236_1,TS,137,SUBS,Bell,OH-58A,HELI,N,,1.0,FIXD,01/01/08 00:00:00,N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
LAX08LA055,2008,2,037270N,0012260W,0.0,DAYL,0.0,30.290001,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080211X00174_1,REC,091,SUBS,CESSNA,152,AIR,N,2.0,1.0,FIXD,11/01/07 00:00:00,N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
LAX08LA056,2008,2,333445N,0011770W,0.0,DAYL,0.0,30.02,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080211X00173_1,REC,091,SUBS,Smith,Zodiac 601XL,AIR,N,2.0,1.0,FIXD,11/01/07 00:00:00,N,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
LAX08CA057,2008,2,035926N,1143334W,0.0,NITE,0.0,29.98,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080226X00235_1,REC,091,SUBS,Robinson,R44 II,HELI,N,4.0,1.0,FIXD,06/01/07 00:00:00,N,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
DFW08FA061,2008,2,294524N,0945042W,0.0,NITE,21.0,29.82,FATL,0.0,0.0,0.0,1,0,0,0,1.0,1.0,1,20080219X00205_1,REC,091,DEST,Cessna,210,AIR,N,6.0,1.0,RETR,06/01/07 00:00:00,N,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
SEA08LA069,2008,2,375135N,1124858W,0.0,DAYL,0.0,29.809999,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080211X00168_1,REC,091,SUBS,Piper,PA-32R-301T,AIR,N,6.0,1.0,RETR,04/01/07 00:00:00,N,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
DFW08FA062,2008,2,026820N,0971225W,0.0,NDRK,0.0,29.799999,FATL,0.0,0.0,0.0,3,0,0,0,3.0,1.0,1,20080222X00227_1,TS,091,SUBS,Eurocopter France,AS350B2,HELI,N,4.0,1.0,FIXD,01/22/08 00:00:00,N,3.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
DFW08CA063,2008,1,302914N,0089394W,0.0,DAYL,0.0,30.26,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080305X00269_1,REC,091,SUBS,Cessna,177,AIR,N,4.0,1.0,FIXD,other/unknown,other/unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NYC08CA094,2008,1,002604N,0801426W,0.0,DAYL,17.0,30.1,MINR,0.0,0.0,0.0,0,2,0,0,2.0,1.0,1,20080321X00361_1,REC,091,SUBS,Piper,J3-C65,AIR,N,2.0,1.0,FIXD,other/unknown,N,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
CHI08CA062,2008,1,412712N,0087026W,0.0,DAYL,21.0,29.77,MINR,0.0,0.0,0.0,0,1,1,0,2.0,1.0,1,20080222X00230_1,REC,091,SUBS,McGuire,RAF2000,GYRO,Y,,1.0,FIXD,other/unknown,other/unknown,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
MIA08LA053,2008,2,335219N,0084184W,0.0,DAYL,0.0,29.889999,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080319X00330_1,REC,091,SUBS,Cessna,C-172RG,AIR,N,4.0,1.0,RETR,01/01/08 00:00:00,N,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
LAX08LA050,2008,1,315626N,0111454W,0.0,DAYL,0.0,30.290001,FATL,0.0,0.0,0.0,2,0,0,0,2.0,1.0,1,20080208X00159_1,REC,091,SUBS,Air Creation,Clipper,AIR,N,2.0,1.0,FIXD,11/28/07 00:00:00,Y,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
DFW08CA064,2008,2,030325N,0095336W,0.0,DAYL,0.0,0.0,NONE,0.0,0.0,0.0,0,0,2,0,2.0,1.0,1,20080306X00275_1,REC,091,SUBS,Robinson,R22 Beta,HELI,N,,1.0,FIXD,other/unknown,other/unknown,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
SEA08LA072,2008,2,444115N,0123040W,0.0,DAYL,19.0,30.290001,FATL,0.0,0.0,0.0,3,0,0,0,3.0,1.0,1,20080212X00177_1,REC,091,SUBS,Wooters,Lancair ES,AIR,Y,4.0,1.0,FIXD,12/01/06 00:00:00,Y,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
SEA08FA071,2008,2,194241N,0155855W,0.0,DAYL,0.0,0.0,MINR,0.0,0.0,0.0,0,5,0,0,5.0,1.0,1,20080213X00181_1,TS,135,SUBS,MCDONNELL DOUGLAS,369E,HELI,N,5.0,1.0,FIXD,01/18/08 00:00:00,N,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0
CHI08CA072,2008,1,403233N,0872515W,0.0,DAYL,0.0,0.0,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080214X00195_1,REC,091,SUBS,Avid Aircraft,MK-IV,AIR,N,,1.0,FIXD,other/unknown,other/unknown,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NYC08CA095,2008,2,029320N,0805656W,0.0,DAYL,0.0,30.110001,NONE,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1,20080321X00363_1,REC,091,SUBS,Sonex,Waiex,AIR,Y,2.0,1.0,FIXD,09/01/07 00:00:00,N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
DFW08TA066,2008,2,030359N,1042926W,0.0,DAYL,0.0,30.219999,MINR,0.0,0.0,0.0,0,1,0,0,1.0,1.0,1,20080213X00185_1,TS,091,SUBS,Hughes,OH-6,HELI,N,4.0,1.0,FIXD,01/01/08 00:00:00,N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
DFW08CA067,2008,2,033148N,0964833W,0.0,DAYL,0.0,0.0,NONE,0.0,0.0,0.0,0,0,3,0,3.0,1.0,1,20080306X00276_1,REC,091,SUBS,Piper,PA-28-140,AIR,N,,1.0,FIXD,other/unknown,other/unknown,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
NYC08CA097,2008,2,036121N,0813933W,0.0,DAYL,18.0,29.879999,MINR,0.0,0.0,0.0,0,1,0,0,1.0,1.0,1,20080322X00368_1,REC,091,SUBS,Christen Industries,Eagle II,AIR,Y,,1.0,FIXD,other/unknown,N,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
