ev_id,ntsb_no,ev_type,ev_date,ev_time,ev_country,ev_year,ev_month,on_ground_collision,latitude,longitude,apt_dist,light_cond,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,ev_inj_tot_f,ev_inj_tot_m,ev_inj_tot_n,ev_inj_tot_s,ev_inj_tot_t,BroadPhaseofFlight,aircraft_count,Aircraft_ID,event_key,Aircraft_Key,eng_type,far_part,damage,acft_make,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,date_last_insp,owner_acft,certs_held,oprtng_cert,oper_cert,second_pilot,evacuation,rwy_len,rwy_width,acft_year,fuel_on_board,unmanned,acft_fatal_count,acft_minor_count,acft_none_count,acft_serious_count,acft_total_person_count,acft_injured_person_count
20200102X54844,ANC20CA011,ACC,01/01/20 00:00:00,530.0,USA,2020,1,,064401N,0014880W,0.0,NDRK,4.0,0.0,28.940001,NONE,,,,0,0,2,0,2.0,Enroute,1.0,1,20200102X54844_1,1.0,REC,091,SUBS,Cessna,AIR,N,2.0,1.0,FIXD,12/14/18 00:00:00,,Y,,,N,,,,1953.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
20200101X91024,CEN20LA053,ACC,01/01/20 00:00:00,2146.0,USA,2020,1,,344826N,0096401W,1.0,DAYL,17.0,26.0,29.68,MINR,,,,0,2,0,0,2.0,Enroute,1.0,1,20200101X91024_1,1.0,REC,091,SUBS,Cessna,AIR,N,6.0,1.0,RETR,10/06/19 00:00:00,,Y,,,N,,,,1974.0,69.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
20200104X54406,WPR20FA057,ACC,01/04/20 00:00:00,1809.0,USA,2020,1,,342157N,0118309W,0.0,DAYL,,0.0,30.360001,FATL,,,,1,0,0,0,1.0,Enroute,1.0,1,20200104X54406_1,1.0,REC,091,DEST,Thunder Mustang ,AIR,Y,,1.0,RETR,,,Y,,,N,,,,2001.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
20200105X53312,ERA20FA063,ACC,01/05/20 00:00:00,1843.0,USA,2020,1,,341622N,0865129W,0.0,DAYL,5.0,0.0,30.299999,FATL,,,,2,0,0,0,2.0,Initial Climb,1.0,1,20200105X53312_1,1.0,REC,091,DEST,Vans,AIR,Y,2.0,1.0,FIXD,08/18/14 00:00:00,,Y,,,N,,5500.0,100.0,2014.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0
20200102X30206,ERA20LA064,ACC,01/02/20 00:00:00,1525.0,USA,2020,1,,003556N,0775343W,0.0,DAYL,8.0,0.0,30.110001,NONE,,,,0,0,2,0,2.0,Enroute,1.0,1,20200102X30206_1,1.0,REC,091,SUBS,Cirrus,AIR,N,4.0,1.0,FIXD,09/22/19 00:00:00,Cornerstone Aviation LLC.,Y,,,N,,,,2006.0,81.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
20200105X93559,ERA20CA065,ACC,01/05/20 00:00:00,2149.0,USA,2020,1,,352314N,0082633W,17.0,DAYL,11.0,0.0,30.23,SERS,0.0,0.0,0.0,0,3,0,1,4.0,Maneuvering,1.0,1,20200105X93559_1,1.0,REC,091,SUBS,American Aviation,AIR,N,4.0,1.0,FIXD,03/13/19 00:00:00,,Y,,,N,,,,1976.0,,0.0,0.0,3.0,0.0,1.0,4.0,4.0
20200104X82940,CEN20LA055,ACC,01/04/20 00:00:00,2200.0,USA,2020,1,,031391N,0983915W,0.0,DAYL,3.0,0.0,30.280001,NONE,,,,0,0,2,0,2.0,Approach,1.0,1,20200104X82940_1,1.0,REC,091,SUBS,Aero Commander,AIR,N,4.0,1.0,FIXD,06/28/19 00:00:00,,Y,,,Y,,,,1967.0,40.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
20200106X65620,ERA20FA068,ACC,01/06/20 00:00:00,1923.0,USA,2020,1,,332940N,0833833W,0.0,DAYL,5.0,0.0,30.120001,FATL,,,,1,0,0,0,1.0,Enroute,1.0,1,20200106X65620_1,1.0,REC,091,DEST,Cessna,AIR,N,4.0,1.0,FIXD,09/17/18 00:00:00,,Y,,,N,,,,1966.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
20200106X90557,ERA20LA069,ACC,01/06/20 00:00:00,2224.0,USA,2020,1,,038430N,0835846W,1.0,DUSK,,0.0,30.219999,SERS,,,,0,0,0,1,1.0,Approach,1.0,1,20200106X90557_1,1.0,REC,091,SUBS,Glassair,AIR,Y,2.0,1.0,FIXD,01/03/20 00:00:00,,Y,,,N,,5000.0,75.0,2008.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20200107X14009,WPR20CA059,ACC,01/04/20 00:00:00,2009.0,USA,2020,1,,381744N,1204315W,0.0,DAYL,11.0,0.0,30.35,NONE,,,,0,0,1,0,1.0,Taxi,1.0,1,20200107X14009_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
