,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
0,20080107X00026_1,1.0,0.0,0.0,0.0,0.0,20080107X00026,1
1,20080107X00026_2,2.0,0.0,0.0,0.0,0.0,20080107X00026,2
2,20080107X00027_1,8.0,0.0,0.0,0.0,0.0,20080107X00027,1
3,20080109X00036_1,1.0,0.0,0.0,0.0,0.0,20080109X00036,1
4,20080111X00039_1,334.0,0.0,0.0,0.0,0.0,20080111X00039,1
5,20080114X00044_1,2.0,0.0,0.0,0.0,0.0,20080114X00044,1
6,20080115X00046_1,1.0,0.0,0.0,0.0,0.0,20080115X00046,1
7,20080115X00047_1,1.0,1.0,1.0,0.0,0.0,20080115X00047,1
8,20080115X00051_1,1.0,0.0,0.0,0.0,0.0,20080115X00051,1
9,20080115X00052_1,2.0,0.0,0.0,0.0,0.0,20080115X00052,1
10,20080116X00062_1,4.0,4.0,0.0,0.0,4.0,20080116X00062,1
11,20080116X00063_1,10.0,10.0,1.0,3.0,6.0,20080116X00063,1
12,20080117X00065_1,193.0,2.0,2.0,0.0,0.0,20080117X00065,1
13,20080117X00067_1,1.0,1.0,0.0,0.0,1.0,20080117X00067,1
14,20080117X00068_1,1.0,1.0,0.0,0.0,1.0,20080117X00068,1
15,20080117X00069_1,2.0,1.0,1.0,0.0,0.0,20080117X00069,1
16,20080118X00073_1,60.0,0.0,0.0,0.0,0.0,20080118X00073,1
17,20080118X00073_2,1.0,0.0,0.0,0.0,0.0,20080118X00073,2
18,20080118X00074_1,5.0,1.0,1.0,0.0,0.0,20080118X00074,1
19,20080118X00075_1,1.0,1.0,0.0,1.0,0.0,20080118X00075,1
20,20080118X00079_1,6.0,6.0,0.0,0.0,6.0,20080118X00079,1
21,20080122X00081_1,88.0,11.0,11.0,0.0,0.0,20080122X00081,1
22,20080122X00082_1,1.0,1.0,0.0,1.0,0.0,20080122X00082,1
23,20080122X00084_1,2.0,2.0,0.0,0.0,2.0,20080122X00084,1
24,20080122X00085_1,1.0,1.0,0.0,0.0,1.0,20080122X00085,1
25,20080122X00086_1,13.0,13.0,0.0,0.0,13.0,20080122X00086,1
26,20080122X00087_1,2.0,0.0,0.0,0.0,0.0,20080122X00087,1
27,20080122X00088_1,38.0,0.0,0.0,0.0,0.0,20080122X00088,1
28,20080123X00090_1,3.0,3.0,0.0,0.0,3.0,20080123X00090,1
29,20080123X00091_1,1.0,0.0,0.0,0.0,0.0,20080123X00091,1
30,20080123X00096_1,1.0,1.0,1.0,0.0,0.0,20080123X00096,1
31,20080123X00098_1,1.0,1.0,0.0,0.0,1.0,20080123X00098,1
32,20080125X00103_1,73.0,0.0,0.0,0.0,0.0,20080125X00103,1
33,20080125X00104_1,2.0,2.0,0.0,0.0,2.0,20080125X00104,1
34,20080128X00108_1,2.0,2.0,0.0,0.0,2.0,20080128X00108,1
35,20080128X00111_1,1.0,1.0,0.0,0.0,1.0,20080128X00111,1
36,20080129X00115_1,1.0,1.0,0.0,1.0,0.0,20080129X00115,1
37,20080129X00116_1,2.0,0.0,0.0,0.0,0.0,20080129X00116,1
38,20080129X00117_1,2.0,0.0,0.0,0.0,0.0,20080129X00117,1
39,20080129X00119_1,1.0,1.0,0.0,0.0,1.0,20080129X00119,1
40,20080130X00124_1,2.0,2.0,0.0,0.0,2.0,20080130X00124,1
41,20080130X00124_2,2.0,2.0,0.0,0.0,2.0,20080130X00124,2
42,20080131X00125_1,3.0,0.0,0.0,0.0,0.0,20080131X00125,1
